benchmark_id,part,row_kind,run_id,model,kv_tier,arm,turn,distractors,cache_control,ttl,http_status,latency_ms,prompt_tokens,cached_tokens,cache_hit,reuse_ratio,warm,first_ms,replay_ms,delta_ms,speedup_x,router_pin,worker_pin,worker_refreshes,req_cache_status,worker_cache_status,replay_evicts,replay_evict_status,result,reuse_signal
cache_pinning_microbenchmark_20260707_020650,validate,validate_turn,cache_pinning_microbenchmark_20260707_020650__validate,Qwen/Qwen2.5-Coder-7B-Instruct,,protected,turn1,,ephemeral:1h,1h,200,4217,30,,miss,,,,,,,spawned,applied,0,,,,,pin_path_applied_and_cache_reused,
cache_pinning_microbenchmark_20260707_020650,validate,validate_turn,cache_pinning_microbenchmark_20260707_020650__validate,Qwen/Qwen2.5-Coder-7B-Instruct,,protected,turn2,,ephemeral:1h,1h,200,4160,175,128,hit,,,,,,,spawned,applied,0,,,,,pin_path_applied_and_cache_reused,
cache_pinning_microbenchmark_20260707_020650,validate,validate_summary,cache_pinning_microbenchmark_20260707_020650__validate,Qwen/Qwen2.5-Coder-7B-Instruct,,protected,turn2,,ephemeral:1h,1h,200,4160,,128,hit,,,4217,4160,,,spawned,applied,0,,,,,pin_path_applied_and_cache_reused,doc_validation
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,control,replay,60,off,,200,76,,832,hit,0.960,true,554,76,-478,7.289,,,,full,missing_runtime_json,0,no_evict_seen,control_row,true_reuse_hit
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,protected,replay,60,ephemeral:1h,,200,76,,832,hit,0.960,true,551,76,-475,7.250,,,,full,missing_runtime_json,0,no_evict_seen,not_sent,true_reuse_hit
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,control,replay,120,off,,200,242,,,miss,,false,554,242,-312,2.289,,,,full,missing_runtime_json,0,no_evict_seen,control_row,no_reuse_evidence
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,protected,replay,120,ephemeral:1h,,200,164,,832,hit,0.960,true,551,164,-387,3.360,,,,full,missing_runtime_json,0,no_evict_seen,not_sent,true_reuse_hit
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,control,replay,240,off,,200,242,,,miss,,false,552,242,-310,2.281,,,,full,missing_runtime_json,0,no_evict_seen,control_row,no_reuse_evidence
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_arm,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,protected,replay,240,ephemeral:1h,,200,161,,832,hit,0.960,true,551,161,-390,3.422,,,,full,missing_runtime_json,0,no_evict_seen,not_sent,true_reuse_hit
cache_pinning_microbenchmark_20260707_020650,sweep,sweep_compare,cache_pinning_microbenchmark_20260707_020650__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_cpu,compare,,,ephemeral:1h,,complete,,,,,,,,,,,,missing_runtime_json,,,missing_runtime_json,,,not_sent,inconclusive
