benchmark_id,part,sweep_axis,sweep_value,run_id,model,arm,spec_prefill,turn_a_ms,turn_b_ms,turn_b_gain_ms,turn_b_cached,turn_b_reuse,hint_status,prefill_wrap,prefill_spawned,prefill_sent,prefill_done,prefill_target_seen,prefill_tokens,effect
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,0,speculative_prefill_microbenchmark_20260702_195517__sweep_1,Qwen/Qwen2.5-Coder-7B-Instruct,control,False,2197,2770,0,8128,0.835,off,missing,False,False,False,False,,baseline_off
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,0,speculative_prefill_microbenchmark_20260702_195517__sweep_1,Qwen/Qwen2.5-Coder-7B-Instruct,protected,True,2306,835,1935,8128,0.835,on,missing,False,False,False,False,,faster_inferred
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,100,speculative_prefill_microbenchmark_20260702_195517__sweep_2,Qwen/Qwen2.5-Coder-7B-Instruct,control,False,225,2322,0,9728,0.999,off,missing,False,False,False,False,,baseline_off
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,100,speculative_prefill_microbenchmark_20260702_195517__sweep_2,Qwen/Qwen2.5-Coder-7B-Instruct,protected,True,354,379,1943,9728,0.999,on,missing,False,False,False,False,,faster_inferred
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,250,speculative_prefill_microbenchmark_20260702_195517__sweep_3,Qwen/Qwen2.5-Coder-7B-Instruct,control,False,226,2319,0,9728,0.999,off,missing,False,False,False,False,,baseline_off
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,250,speculative_prefill_microbenchmark_20260702_195517__sweep_3,Qwen/Qwen2.5-Coder-7B-Instruct,protected,True,339,380,1939,9728,0.999,on,missing,False,False,False,False,,faster_inferred
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,500,speculative_prefill_microbenchmark_20260702_195517__sweep_4,Qwen/Qwen2.5-Coder-7B-Instruct,control,False,226,2318,0,9728,0.999,off,missing,False,False,False,False,,baseline_off
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,500,speculative_prefill_microbenchmark_20260702_195517__sweep_4,Qwen/Qwen2.5-Coder-7B-Instruct,protected,True,338,379,1939,9728,0.999,on,missing,False,False,False,False,,faster_inferred
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,1000,speculative_prefill_microbenchmark_20260702_195517__sweep_5,Qwen/Qwen2.5-Coder-7B-Instruct,control,False,255,2345,0,9728,0.999,off,missing,False,False,False,False,,baseline_off
speculative_prefill_microbenchmark_20260702_195517,sweep,SPEC_PREFILL_WARMUP_WAIT_MS,1000,speculative_prefill_microbenchmark_20260702_195517__sweep_5,Qwen/Qwen2.5-Coder-7B-Instruct,protected,True,337,383,1962,9728,0.999,on,missing,False,False,False,False,,faster_inferred
