benchmark_id,part,run_id,model,kv_tier,arm,hint_profile,cache_control,distractors,first_status,replay_status,first_ms,replay_ms,delta_ms,speedup_x,replay_cached,replay_reuse,warm,warm_source,req_prio_status,worker_prio_status,replay_evicts,replay_evict_cache,replay_evict_status,result
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,25,200,200,159,70,-89,2.271,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,25,200,200,151,70,-81,2.157,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,mechanism_enabled_no_effect
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,50,200,200,153,165,12,0.927,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,50,200,200,151,70,-81,2.157,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,effect_observed
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,75,200,200,153,214,61,0.715,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,75,200,200,151,69,-82,2.188,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,effect_observed
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,100,200,200,153,168,15,0.911,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,100,200,200,151,69,-82,2.188,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,effect_observed
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,125,200,200,157,214,57,0.734,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,125,200,200,151,69,-82,2.188,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,effect_observed
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,150,200,200,154,166,12,0.928,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260706_224403,sweep,kv_retention_microbenchmark_20260706_224403__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,150,200,200,152,69,-83,2.203,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,effect_observed
