run_id,run_short,timestamp,repo,runtime,model,hint_profile,execution_steps,planning_tool_calls,planning_tools,execution_phase_tool_calls,execution_phase_tools,execution_phase_breakdown,patch_generation_tool_calls,patch_generation_tools,review_tool_calls,review_tools,other_phase_tool_calls,other_phase_tools,other_phase_breakdown,total_tool_calls,patch_bytes,patch,patch_nonempty,git_diff_nonempty
agentbench-20260602_190251,190251,20260602_190251,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,6,read_file,execution: 6 x read_file,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,10,0,0 bytes,False,False
agentbench-20260602_190500,190500,20260602_190500,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_190534,190534,20260602_190534,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,5,read_file,execution: 5 x read_file,0,none,0,none,0,none,none,5,0,0 bytes,False,False
agentbench-20260602_190952,190952,20260602_190952,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260602_193512,193512,20260602_193512,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"execute, read_file",2,"execute, read_file",4,"execute, read_file","patch_generation: 1 x execute, 1 x read_file; review: 1 x execute, 1 x read_file",4,0,0 bytes,False,False
agentbench-20260602_193615,193615,20260602_193615,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_193649,193649,20260602_193649,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,7,"edit_file, execute, read_file, write_file","execution: 4 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",5,execute,3,execute,8,execute,patch_generation: 5 x execute; review: 3 x execute,15,1652,1.6 KB,True,True
agentbench-20260602_193924,193924,20260602_193924,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260602_195404,195404,20260602_195404,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"execute, read_file",2,"execute, read_file",4,"execute, read_file","patch_generation: 1 x execute, 1 x read_file; review: 1 x execute, 1 x read_file",4,0,0 bytes,False,False
agentbench-20260602_195450,195450,20260602_195450,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_195524,195524,20260602_195524,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,5,read_file,execution: 5 x read_file,0,none,3,execute,3,execute,review: 3 x execute,8,0,0 bytes,False,False
agentbench-20260602_195837,195837,20260602_195837,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260603_003009,003009,20260603_003009,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,5,"edit_file, execute, read_file","execution: 3 x edit_file, 1 x execute, 1 x read_file",2,write_file,1,read_file,3,"read_file, write_file",patch_generation: 2 x write_file; review: 1 x read_file,8,412,412 bytes,True,True
agentbench-20260603_003113,003113,20260603_003113,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_003149,003149,20260603_003149,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,9,"edit_file, execute, read_file, write_file","execution: 6 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,execute,1,execute,2,execute,patch_generation: 1 x execute; review: 1 x execute,11,1934,1.9 KB,True,True
agentbench-20260603_003318,003318,20260603_003318,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,write_todos,1,execute,2,"execute, write_todos",patch_generation: 1 x write_todos; review: 1 x execute,2,0,0 bytes,False,False
agentbench-20260603_003750,003750,20260603_003750,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,2,write_todos,0,none,execution: 0 x none,1,read_file,1,read_file,4,"read_file, write_todos",planning: 2 x write_todos; patch_generation: 1 x read_file; review: 1 x read_file,4,0,0 bytes,False,False
agentbench-20260603_010203,010203,20260603_010203,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,4,read_file,execution: 4 x read_file,5,read_file,2,"read_file, write_todos",7,"read_file, write_todos","patch_generation: 5 x read_file; review: 1 x read_file, 1 x write_todos",11,0,0 bytes,False,False
agentbench-20260603_010402,010402,20260603_010402,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_010438,010438,20260603_010438,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,9,"edit_file, execute, read_file, write_file","execution: 6 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,execute,1,execute,2,execute,patch_generation: 1 x execute; review: 1 x execute,11,1934,1.9 KB,True,True
agentbench-20260603_010608,010608,20260603_010608,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,write_todos,1,execute,2,"execute, write_todos",patch_generation: 1 x write_todos; review: 1 x execute,2,0,0 bytes,False,False
agentbench-20260603_011039,011039,20260603_011039,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,2,write_todos,0,none,execution: 0 x none,1,read_file,1,read_file,4,"read_file, write_todos",planning: 2 x write_todos; patch_generation: 1 x read_file; review: 1 x read_file,4,0,0 bytes,False,False
agentbench-20260603_125502,125502,20260603_125502,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,5,"edit_file, execute, read_file","execution: 3 x edit_file, 1 x execute, 1 x read_file",2,write_file,1,read_file,3,"read_file, write_file",patch_generation: 2 x write_file; review: 1 x read_file,8,412,412 bytes,True,True
agentbench-20260603_125608,125608,20260603_125608,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_125644,125644,20260603_125644,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,9,"edit_file, execute, read_file, write_file","execution: 6 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,execute,1,execute,2,execute,patch_generation: 1 x execute; review: 1 x execute,11,1934,1.9 KB,True,True
agentbench-20260603_125814,125814,20260603_125814,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,write_todos,1,execute,2,"execute, write_todos",patch_generation: 1 x write_todos; review: 1 x execute,2,0,0 bytes,False,False
agentbench-20260603_130247,130247,20260603_130247,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,2,write_todos,0,none,execution: 0 x none,1,read_file,1,read_file,4,"read_file, write_todos",planning: 2 x write_todos; patch_generation: 1 x read_file; review: 1 x read_file,4,0,0 bytes,False,False
agentbench-20260603_141735,141735,20260603_141735,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,5,"edit_file, execute, read_file","execution: 3 x edit_file, 1 x execute, 1 x read_file",2,write_file,1,read_file,3,"read_file, write_file",patch_generation: 2 x write_file; review: 1 x read_file,8,412,412 bytes,True,True
agentbench-20260603_141940,141940,20260603_141940,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_142016,142016,20260603_142016,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,9,"edit_file, execute, read_file, write_file","execution: 6 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,execute,1,execute,2,execute,patch_generation: 1 x execute; review: 1 x execute,11,1934,1.9 KB,True,True
agentbench-20260603_142146,142146,20260603_142146,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,write_todos,1,execute,2,"execute, write_todos",patch_generation: 1 x write_todos; review: 1 x execute,2,0,0 bytes,False,False
agentbench-20260603_142619,142619,20260603_142619,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,2,write_todos,0,none,execution: 0 x none,1,read_file,1,read_file,4,"read_file, write_todos",planning: 2 x write_todos; patch_generation: 1 x read_file; review: 1 x read_file,4,0,0 bytes,False,False
agentbench-20260603_142654,142654,20260603_142654,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,13,"ls, read_file","execution: 12 x ls, 1 x read_file",1,read_file,1,execute,2,"execute, read_file",patch_generation: 1 x read_file; review: 1 x execute,15,183,183 bytes,True,True
agentbench-20260603_142838,142838,20260603_142838,openlibrary,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,5,"edit_file, execute, read_file, write_file","execution: 2 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,write_todos,0,none,1,write_todos,patch_generation: 1 x write_todos,6,2272268,2.17 MB,True,True
agentbench-20260603_143114,143114,20260603_143114,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_143449,143449,20260603_143449,teleport,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,execute,2,"execute, write_todos",3,"execute, write_todos","patch_generation: 1 x execute; review: 1 x execute, 1 x write_todos",3,0,0 bytes,False,False
agentbench-20260603_143646,143646,20260603_143646,unknown,unknown,,unknown,0,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_144037,144037,20260603_144037,openlibrary,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,5,"execute, read_file, write_todos",13,"execute, glob, read_file, write_todos","execution: 10 x execute, 1 x glob, 1 x read_file, 1 x write_todos",5,"execute, glob, read_file, write_todos",0,none,10,"execute, glob, read_file, write_todos","planning: 3 x execute, 1 x read_file, 1 x write_todos; patch_generation: 2 x execute, 1 x glob, 1 x read_file, 1 x write_todos",23,0,0 bytes,False,False
agentbench-20260603_144513,144513,20260603_144513,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,3,"edit_file, execute, read_file","execution: 1 x edit_file, 1 x execute, 1 x read_file",1,read_file,1,execute,2,"execute, read_file",patch_generation: 1 x read_file; review: 1 x execute,5,7518,7.3 KB,True,True
agentbench-20260603_144617,144617,20260603_144617,unknown,unknown,,unknown,0,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_144653,144653,20260603_144653,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,1,execute,5,"execute, glob, grep, read_file","execution: 2 x execute, 1 x glob, 1 x grep, 1 x read_file",1,execute,2,execute,4,execute,planning: 1 x execute; patch_generation: 1 x execute; review: 2 x execute,9,0,0 bytes,False,False
agentbench-20260603_144758,144758,20260603_144758,element-web,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,8,execute,4,execute,12,execute,patch_generation: 8 x execute; review: 4 x execute,12,0,0 bytes,False,False
agentbench-20260603_145348,145348,20260603_145348,vuls,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"read_file, write_todos",2,"read_file, write_todos",4,"read_file, write_todos","patch_generation: 1 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",4,0,0 bytes,False,False
agentbench-20260603_145438,145438,20260603_145438,openlibrary,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,1,read_file,2,read_file,patch_generation: 1 x read_file; review: 1 x read_file,2,0,0 bytes,False,False
agentbench-20260603_145531,145531,20260603_145531,vuls,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,5,"execute, grep, write_todos",0,none,execution: 0 x none,0,none,0,none,5,"execute, grep, write_todos","planning: 3 x execute, 1 x grep, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260603_145801,145801,20260603_145801,teleport,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_150054,150054,20260603_150054,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,6,read_file,execution: 6 x read_file,1,read_file,3,read_file,4,read_file,patch_generation: 1 x read_file; review: 3 x read_file,10,0,0 bytes,False,False
