run_id,task_label,instance_id_short,hint_profile,phase,phase_request_index,ttft_ms,latency_ms,prompt_tokens,completion_tokens,cache_hit,cached_token_count,recomputed_prefix_tokens,cache_reuse_ratio,worker_runtime_json_matched,transfer_request_id_matched,host_to_device_kv_mb,device_to_host_kv_mb,transfer_cuda_sync_ms,patch_nonempty
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,planning,0,,16669.754,9914,484,True,8640,1274,0.871494855759532,,False,,,475.812856,False
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,0,,3287.342,10415,80,True,8640,1775,0.8295727316370619,,False,,,475.812856,False
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,1,,3363.46,10520,80,True,8640,1880,0.8212927756653993,,False,,,475.812856,False
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,2,,3383.228,10613,80,True,8704,1909,0.8201262602468671,,False,,,475.812856,False
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,patch_generation,0,,27798.354,12215,10,True,11328,887,0.9273843634875153,,False,,,475.812856,False
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,review,0,,39212.572,11119,855,True,10560,559,0.9497256947567227,,False,,,475.812856,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,planning,0,,17091.701,10449,504,True,10240,209,0.9799980859412384,,False,,,0.0,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,0,,4591.146,10970,128,True,10560,410,0.9626253418413856,,False,,,0.0,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,1,,5126.802,11122,128,True,8768,2354,0.7883474195288617,,False,,,0.0,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,2,,5170.891,11262,128,True,8768,2494,0.7785473272953294,,False,,,0.0,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,patch_generation,0,,4813.556,10844,8,True,9600,1244,0.8852821836960532,,False,,,0.0,False
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,review,0,,4474.897,10847,6,True,9664,1183,0.8909375864294274,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,planning,0,,8551.173,9706,242,True,8640,1066,0.8901710282299609,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,0,,4821.238,9965,128,True,8640,1325,0.8670346211741093,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,1,,2972.893,10118,72,True,8640,1478,0.8539237003360348,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,2,,2975.925,10203,72,True,8768,1435,0.8593550916397138,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,patch_generation,0,,5273.728,11163,8,True,10432,731,0.9345158111618741,,False,,,0.0,False
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,review,0,,5179.247,11167,6,True,10496,671,0.9399122414256291,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,planning,0,,11620.542,10187,329,True,8640,1547,0.848139786001767,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,0,,6049.02,10701,31,True,10560,141,0.9868236613400617,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,1,,48659.486,11848,1274,True,10624,1224,0.8966914247130318,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,2,,60870.619,12699,1376,True,11520,1179,0.9071580439404677,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,patch_generation,0,,48447.164,11700,1408,True,8576,3124,0.732991452991453,,False,,,0.0,False
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,review,0,,13494.337,14933,140,True,14400,533,0.9643072390008706,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,planning,0,,16667.773,9914,484,True,8640,1274,0.871494855759532,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,0,,3287.705,10415,80,True,8640,1775,0.8295727316370619,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,1,,3364.144,10520,80,True,8640,1880,0.8212927756653993,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,2,,3368.722,10613,80,True,8704,1909,0.8201262602468671,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,patch_generation,0,,27776.952,12215,10,True,11328,887,0.9273843634875153,,False,,,0.0,False
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,review,0,,39194.707,11119,855,True,10560,559,0.9497256947567227,,False,,,0.0,False
