run_id,hint_profile,model,app_variant,phase,request_id,priority,reuse_likelihood,latency_sensitivity,expected_output_tokens,latency_ms,ttft_ms,ttft_source,sglang_ttft_ms_prefill_to_first_decode,prompt_tokens,completion_tokens,cache_hit,cache_hit_source,cached_token_count,recomputed_prefix_tokens,cache_reuse_ratio,sglang_cache_hit,sglang_cached_token_count,sglang_new_token_count,worker_runtime_json_matched,worker_runtime_json_event_count,worker_runtime_json_request_id_source,worker_runtime_json_sglang_request_id,worker_runtime_json_cached_tokens,worker_runtime_json_request_received_to_attached_ms,scheduler_cached_blocks,transfer_request_id_matched,transfer_event_count_for_request,transfer_device_to_host_kv_mb_for_request,transfer_host_to_device_kv_mb_for_request,transfer_cuda_sync_ms_for_request,transfer_device_to_host_kv_mb,transfer_host_to_device_kv_mb,transfer_cuda_sync_ms,patch_nonempty,git_diff_nonempty
agentbench-nodebb_20260601_200503,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,planning,agentbench-nodebb_20260601_200503::planning::0,5,0.9,0.7,768,28746.626,9204.01,worker_runtime.request_to_first_decode,4429.969,10324,617,False,none,0,10324,0.0,False,0,10368,False,0,none,,,,0,False,0,,,,1151.5,0.0,1005.0131309999999,False,False
agentbench-nodebb_20260601_200503,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,execution,agentbench-nodebb_20260601_200503::execution::0,5,0.9,0.7,2048,3669.789,1600.67,worker_runtime.request_to_first_decode,1000.77,10958,82,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",8512,2446,0.7767840846869867,True,8512,2496,False,0,none,,,,133,False,0,,,,1151.5,0.0,1005.0131309999999,False,False
agentbench-nodebb_20260601_200503,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,patch_generation,agentbench-nodebb_20260601_200503::patch_generation::0,5,0.9,0.7,1024,17966.384,993.1320000000001,worker_runtime.request_to_first_decode,670.0540000000001,11864,6,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",11072,792,0.933243425488874,True,8512,832,False,0,none,,,,133,False,0,,,,1151.5,0.0,1005.0131309999999,False,False
agentbench-nodebb_20260601_200503,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,review,agentbench-nodebb_20260601_200503::review::0,5,0.9,0.7,1024,17912.474,1596.465,worker_runtime.request_to_first_decode,943.3770000000001,11867,6,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",11072,795,0.9330074997893317,True,9280,1856,False,0,none,,,,145,False,0,,,,1151.5,0.0,1005.0131309999999,False,False
agentbench-nodebb_20260601_192108,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,planning,agentbench-nodebb_20260601_192108::planning::0,5,0.9,0.7,768,28964.853,9420.612000000001,worker_runtime.request_to_first_decode,4784.194,10324,617,False,none,0,10324,0.0,False,0,10368,,,,,,,0,,,,,,1151.5,0.0,1005.089126,False,False
agentbench-nodebb_20260601_192108,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,execution,agentbench-nodebb_20260601_192108::execution::0,5,0.9,0.7,2048,3679.211,1601.5459999999998,worker_runtime.request_to_first_decode,1000.7589999999999,10958,82,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",8512,2446,0.7767840846869867,True,8512,2496,,,,,,,133,,,,,,1151.5,0.0,1005.089126,False,False
agentbench-nodebb_20260601_192108,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,patch_generation,agentbench-nodebb_20260601_192108::patch_generation::0,5,0.9,0.7,1024,17925.823,994.2990000000001,worker_runtime.request_to_first_decode,670.2810000000001,11864,6,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",11072,792,0.933243425488874,True,8512,832,,,,,,,133,,,,,,1151.5,0.0,1005.089126,False,False
agentbench-nodebb_20260601_192108,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,review,agentbench-nodebb_20260601_192108::review::0,5,0.9,0.7,1024,17956.16,1596.2069999999999,worker_runtime.request_to_first_decode,943.529,11867,6,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",11072,795,0.9330074997893317,True,9280,1856,,,,,,,145,,,,,,1151.5,0.0,1005.089126,False,False
agentbench-nodebb_20260601_184042,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,planning,agentbench-nodebb_20260601_184042::planning::0,5,0.9,0.7,768,28837.472,9261.505,worker_runtime.request_to_first_decode,4727.406,10324,617,False,none,0,10324,0.0,False,0,10368,,,,,,,0,,,,,,1151.5,0.0,1004.318676,False,False
agentbench-nodebb_20260601_184042,baseline,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,execution,agentbench-nodebb_20260601_184042::execution::0,5,0.9,0.7,2048,3675.161,1601.915,worker_runtime.request_to_first_decode,1002.0500000000001,10958,82,True,"api_usage.cached_prompt_tokens,worker_runtime.prefill.cached_token,frontend_scheduler.cached_blocks",8512,2446,0.7767840846869867,True,8512,2496,,,,,,,133,,,,,,1151.5,0.0,1004.318676,False,False
