run_id,run_short,timestamp,repo,runtime,model,hint_profile,execution_steps,planning_tool_calls,planning_tools,execution_phase_tool_calls,execution_phase_tools,execution_phase_breakdown,patch_generation_tool_calls,patch_generation_tools,review_tool_calls,review_tools,other_phase_tool_calls,other_phase_tools,other_phase_breakdown,total_tool_calls,patch_bytes,patch,patch_nonempty,git_diff_nonempty
agentbench-20260603_150236,150236,20260603_150236,openlibrary,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_150315,150315,20260603_150315,navidrome,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,8,read_file,execution: 8 x read_file,1,read_file,1,read_file,2,read_file,patch_generation: 1 x read_file; review: 1 x read_file,10,0,0 bytes,False,False
agentbench-20260603_150628,150628,20260603_150628,openlibrary,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_150713,150713,20260603_150713,element-web,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"read_file, write_todos",2,"read_file, write_todos",4,"read_file, write_todos","patch_generation: 1 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",4,0,0 bytes,False,False
agentbench-20260603_150846,150846,20260603_150846,unknown,unknown,,unknown,0,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_151109,151109,20260603_151109,unknown,unknown,,unknown,0,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_151214,151214,20260603_151214,unknown,unknown,,unknown,0,0,none,0,none,execution: 0 x none,0,none,0,none,0,none,none,0,0,0 bytes,False,False
agentbench-20260603_151318,151318,20260603_151318,flipt,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260603_151402,151402,20260603_151402,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,9,read_file,execution: 9 x read_file,1,read_file,1,read_file,2,read_file,patch_generation: 1 x read_file; review: 1 x read_file,11,0,0 bytes,False,False
agentbench-20260603_151614,151614,20260603_151614,teleport,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,5,"ls, read_file, write_file","execution: 3 x ls, 1 x read_file, 1 x write_file",2,write_file,1,write_file,3,write_file,patch_generation: 2 x write_file; review: 1 x write_file,8,3516,3.4 KB,True,True
