run_id,run_short,timestamp,repo,runtime,model,hint_profile,execution_steps,planning_tool_calls,planning_tools,execution_phase_tool_calls,execution_phase_tools,execution_phase_breakdown,patch_generation_tool_calls,patch_generation_tools,review_tool_calls,review_tools,other_phase_tool_calls,other_phase_tools,other_phase_breakdown,total_tool_calls,patch_bytes,patch,patch_nonempty,git_diff_nonempty
agentbench-20260602_190251,190251,20260602_190251,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,6,read_file,execution: 6 x read_file,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,10,0,0 bytes,False,False
agentbench-20260602_190500,190500,20260602_190500,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_190534,190534,20260602_190534,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,5,read_file,execution: 5 x read_file,0,none,0,none,0,none,none,5,0,0 bytes,False,False
agentbench-20260602_190952,190952,20260602_190952,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260602_193512,193512,20260602_193512,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"execute, read_file",2,"execute, read_file",4,"execute, read_file","patch_generation: 1 x execute, 1 x read_file; review: 1 x execute, 1 x read_file",4,0,0 bytes,False,False
agentbench-20260602_193615,193615,20260602_193615,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_193649,193649,20260602_193649,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,7,"edit_file, execute, read_file, write_file","execution: 4 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",5,execute,3,execute,8,execute,patch_generation: 5 x execute; review: 3 x execute,15,1652,1.6 KB,True,True
agentbench-20260602_193924,193924,20260602_193924,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260602_195404,195404,20260602_195404,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,"execute, read_file",2,"execute, read_file",4,"execute, read_file","patch_generation: 1 x execute, 1 x read_file; review: 1 x execute, 1 x read_file",4,0,0 bytes,False,False
agentbench-20260602_195450,195450,20260602_195450,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,2,read_file,2,read_file,4,read_file,patch_generation: 2 x read_file; review: 2 x read_file,4,0,0 bytes,False,False
agentbench-20260602_195524,195524,20260602_195524,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,5,read_file,execution: 5 x read_file,0,none,3,execute,3,execute,review: 3 x execute,8,0,0 bytes,False,False
agentbench-20260602_195837,195837,20260602_195837,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,3,"read_file, write_todos",2,"read_file, write_todos",5,"read_file, write_todos","patch_generation: 2 x read_file, 1 x write_todos; review: 1 x read_file, 1 x write_todos",5,0,0 bytes,False,False
agentbench-20260603_003009,003009,20260603_003009,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,5,"edit_file, execute, read_file","execution: 3 x edit_file, 1 x execute, 1 x read_file",2,write_file,1,read_file,3,"read_file, write_file",patch_generation: 2 x write_file; review: 1 x read_file,8,412,412 bytes,True,True
agentbench-20260603_003113,003113,20260603_003113,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,read_file,2,read_file,3,read_file,patch_generation: 1 x read_file; review: 2 x read_file,3,0,0 bytes,False,False
agentbench-20260603_003149,003149,20260603_003149,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,2,0,none,9,"edit_file, execute, read_file, write_file","execution: 6 x edit_file, 1 x execute, 1 x read_file, 1 x write_file",1,execute,1,execute,2,execute,patch_generation: 1 x execute; review: 1 x execute,11,1934,1.9 KB,True,True
agentbench-20260603_003318,003318,20260603_003318,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,0,none,0,none,execution: 0 x none,1,write_todos,1,execute,2,"execute, write_todos",patch_generation: 1 x write_todos; review: 1 x execute,2,0,0 bytes,False,False
agentbench-20260603_003750,003750,20260603_003750,ansible,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,3,2,write_todos,0,none,execution: 0 x none,1,read_file,1,read_file,4,"read_file, write_todos",planning: 2 x write_todos; patch_generation: 1 x read_file; review: 1 x read_file,4,0,0 bytes,False,False
